session_t,hand,wrist_x,wrist_y,hand_scale,speed,seg_state,seg_buffered,curls,pose_best,pose_distance,pose_stable
25.370,1,0.34366,0.88826,0.28951,0.09282,IN_MOTION,25,0.777|0.896|0.873|0.719,,inf,
25.510,1,0.32879,0.87822,0.29286,0.06128,IN_MOTION,26,0.775|0.887|0.843|0.706,,inf,
25.599,1,0.32173,0.87085,0.29381,0.03474,IN_MOTION,27,0.772|0.881|0.840|0.705,,inf,
25.816,1,0.32075,0.86740,0.29665,0.01208,IN_MOTION,28,0.766|0.871|0.838|0.697,,inf,
25.985,1,0.32456,0.86753,0.29733,0.01285,IN_MOTION,29,0.765|0.865|0.828|0.694,,inf,
26.083,1,0.37028,0.88014,0.30258,0.15672,IN_MOTION,30,0.793|0.879|0.841|0.668,,inf,
26.253,1,0.47988,0.90502,0.31171,0.36058,IN_MOTION,31,0.835|0.911|0.810|0.603,,inf,
26.349,1,0.60643,0.93219,0.32544,0.39771,IN_MOTION,32,0.823|0.905|0.832|0.639,,inf,
26.449,1,0.76242,0.95334,0.33402,0.47129,IN_MOTION,33,0.870|0.895|0.812|0.579,,inf,
26.679,1,0.89616,0.96632,0.34181,0.39309,IN_MOTION,34,0.806|0.875|0.792|0.582,,inf,
26.784,1,1.00091,0.97576,0.34220,0.30737,IN_MOTION,35,0.794|0.860|0.788|0.563,,inf,
26.901,1,1.08935,0.98238,0.34036,0.26054,IN_MOTION,36,0.820|0.886|0.787|0.487,,inf,
27.081,1,1.14043,0.98337,0.33399,0.15299,IN_MOTION,37,0.832|0.899|0.820|0.540,,inf,
27.174,1,1.17127,0.98660,0.33601,0.09227,IN_MOTION,38,0.838|0.898|0.836|0.552,,inf,
27.280,1,1.18833,0.98537,0.33493,0.05106,IN_MOTION,39,0.837|0.894|0.815|0.540,,inf,
27.449,1,1.19448,0.98507,0.33729,0.01826,IN_MOTION,40,0.818|0.881|0.811|0.489,,inf,
27.538,1,1.19863,0.98684,0.33960,0.01330,IN_MOTION,41,0.815|0.881|0.810|0.505,,inf,
27.630,1,1.20571,0.98770,0.33545,0.02125,IN_MOTION,42,0.824|0.887|0.817|0.517,,inf,
27.785,1,1.20429,0.98897,0.33609,0.00566,IN_MOTION,43,0.761|0.851|0.773|0.528,,inf,
27.890,1,1.19926,0.99012,0.32109,0.01607,WAITING,0,0.582|0.690|0.619|0.518,,inf,
28.032,1,1.19756,0.99198,0.30334,0.00830,WAITING,0,0.454|0.461|0.316|0.331,,inf,
28.186,1,1.18125,1.00153,0.27363,0.06906,WAITING,0,0.297|0.279|0.251|0.289,,inf,
28.284,0,,,,0.00000,WAITING,0,,,,
28.377,0,,,,0.00000,WAITING,0,,,,
28.456,0,,,,0.00000,WAITING,0,,,,
28.624,0,,,,0.00000,WAITING,0,,,,
28.735,0,,,,0.00000,WAITING,0,,,,
28.811,0,,,,0.00000,WAITING,0,,,,
29.016,0,,,,0.00000,WAITING,0,,,,
29.177,0,,,,0.00000,WAITING,0,,,,
29.427,0,,,,0.00000,WAITING,0,,,,
29.537,0,,,,0.00000,WAITING,0,,,,
29.774,1,1.13326,0.82347,0.26844,0.00000,WAITING,0,0.388|0.295|0.217|0.130,,inf,
29.886,1,1.08716,0.73026,0.26083,0.39868,WAITING,0,0.268|0.221|0.143|0.083,,inf,
29.972,1,1.06387,0.67939,0.26360,0.21225,IN_MOTION,3,0.300|0.250|0.177|0.109,,inf,
30.060,1,1.05197,0.64746,0.25516,0.13352,IN_MOTION,4,0.287|0.247|0.171|0.092,,inf,
30.221,1,1.04735,0.63168,0.25515,0.06444,IN_MOTION,5,0.329|0.282|0.199|0.109,,inf,
30.299,1,1.04520,0.62619,0.26018,0.02269,IN_MOTION,6,0.312|0.268|0.186|0.103,,inf,
30.398,1,1.04459,0.62229,0.25473,0.01550,IN_MOTION,7,0.285|0.244|0.165|0.086,,inf,
30.533,1,1.04417,0.61869,0.25471,0.01422,IN_MOTION,8,0.299|0.257|0.176|0.089,,inf,
30.740,1,1.04246,0.61595,0.25199,0.01280,IN_MOTION,9,0.297|0.257|0.180|0.094,,inf,
30.836,1,1.04141,0.61479,0.25248,0.00619,IN_MOTION,10,0.304|0.258|0.177|0.088,,inf,
31.049,1,1.04065,0.61707,0.25897,0.00926,WAITING,0,0.303|0.269|0.193|0.106,,inf,
31.199,1,1.04040,0.61475,0.25357,0.00920,WAITING,0,0.306|0.262|0.177|0.085,,inf,
31.299,1,1.04060,0.61421,0.25447,0.00225,WAITING,0,0.325|0.281|0.199|0.107,,inf,
31.483,1,1.04157,0.61675,0.25868,0.01049,WAITING,0,0.315|0.275|0.196|0.105,,inf,
31.610,1,1.04085,0.62044,0.25457,0.01476,WAITING,0,0.297|0.252|0.173|0.094,,inf,
31.788,1,1.03966,0.62247,0.25142,0.00937,WAITING,0,0.303|0.258|0.175|0.082,,inf,
31.907,1,1.04182,0.62356,0.25200,0.00962,WAITING,0,0.302|0.252|0.172|0.076,,inf,
31.990,1,1.04177,0.62420,0.25123,0.00257,WAITING,0,0.301|0.258|0.181|0.095,,inf,
32.079,1,1.04085,0.62485,0.24719,0.00453,WAITING,0,0.314|0.266|0.181|0.092,,inf,
32.232,1,1.04362,0.62730,0.25584,0.01445,WAITING,0,0.295|0.250|0.172|0.086,,inf,
32.320,1,1.04603,0.62892,0.25601,0.01133,WAITING,0,0.298|0.249|0.170|0.085,,inf,
32.423,1,1.04614,0.62966,0.25378,0.00296,WAITING,0,0.305|0.264|0.186|0.101,,inf,
32.532,1,1.04571,0.62965,0.25099,0.00171,WAITING,0,0.317|0.264|0.181|0.083,,inf,
32.699,1,1.04679,0.63112,0.25363,0.00717,WAITING,0,0.290|0.254|0.177|0.085,,inf,
32.792,1,1.04814,0.63523,0.24871,0.01742,WAITING,0,0.310|0.288|0.195|0.096,,inf,
32.884,1,1.04873,0.64254,0.25673,0.02857,WAITING,0,0.273|0.254|0.182|0.092,,inf,
33.018,1,1.04833,0.64501,0.25407,0.00985,WAITING,0,0.266|0.250|0.172|0.082,,inf,
33.107,1,1.04747,0.64552,0.25763,0.00385,WAITING,0,0.261|0.252|0.175|0.081,,inf,
33.188,1,1.04584,0.64602,0.25240,0.00676,WAITING,0,0.288|0.278|0.199|0.103,,inf,
33.273,1,1.04384,0.64673,0.24747,0.00859,WAITING,0,0.291|0.272|0.194|0.099,,inf,
33.437,1,1.04350,0.64460,0.24737,0.00873,WAITING,0,0.288|0.267|0.192|0.099,,inf,
33.519,1,1.04022,0.64325,0.24114,0.01472,WAITING,0,0.314|0.263|0.190|0.089,,inf,
33.579,1,1.04229,0.64144,0.24100,0.01142,WAITING,0,0.305|0.253|0.169|0.061,,inf,
