wall_time,session_t,mode,source,outcome,gesture,distance,threshold,threshold_source,runner_up,runner_up_distance,margin_ratio,fired,key,detail,seg_frames,seg_duration,seg_peak_speed,seg_mean_speed,seg_close_reason,session_label
1788752105.026,304.359,LIVE,trajectory,rejected,swipe_right,0.3737,0.5093,calibrated(2 samples),swipe_left,0.4006,0.9328,False,,ambiguous vs swipe_left (ratio 0.93 > 0.80),34,2.610,1.5706,0.2743,still,
1788752107.157,306.490,LIVE,trajectory,segment_rejected,,,,,,,,,,path_too_small(0.46<0.55),8,0.927,0.1589,0.0633,hand_lost,
1788752110.418,309.751,LIVE,trajectory,rejected,swipe_right,0.4813,0.5093,calibrated(2 samples),swipe_left,0.5114,0.9411,False,,ambiguous vs swipe_left (ratio 0.94 > 0.80),32,2.404,1.3776,0.2065,still,
1788752113.098,312.432,LIVE,trajectory,rejected,swipe_right,0.3527,0.5093,calibrated(2 samples),swipe_left,0.3886,0.9076,False,,ambiguous vs swipe_left (ratio 0.91 > 0.80),15,1.406,0.2808,0.1362,hand_lost,
1788752118.113,317.446,LIVE,trajectory,rejected,swipe_right,0.9701,0.5093,calibrated(2 samples),swipe_left,1.0214,0.9498,False,,distance over threshold,14,1.332,0.2850,0.1302,hand_lost,
1788752120.835,320.168,LIVE,trajectory,rejected,swipe_right,0.8052,0.5093,calibrated(2 samples),swipe_left,0.8748,0.9203,False,,distance over threshold,20,1.456,0.3816,0.1198,still,
1788752121.770,321.103,LIVE,trajectory,rejected,swipe_left,0.5044,0.6000,calibrated(2 samples),swipe_right,0.5136,0.9822,False,,ambiguous vs swipe_right (ratio 0.98 > 0.80),6,0.796,0.3990,0.1696,hand_lost,
1788752638.121,61.776,LIVE,trajectory,accepted,swipe_right,0.3499,0.6000,calibrated(3 samples),swipe_left,0.4728,0.7400,True,right,"DRY RUN, would press right",31,1.998,0.3346,0.1405,still,
1788752641.133,64.787,LIVE,trajectory,accepted,swipe_right,0.4186,0.6000,calibrated(3 samples),swipe_left,0.5478,0.7641,True,right,"DRY RUN, would press right",33,2.483,1.2842,0.2412,still,
1788752643.662,67.317,LIVE,trajectory,rejected,swipe_right,0.6418,0.6000,calibrated(3 samples),swipe_left,1.0631,0.6037,False,,distance over threshold,29,1.871,0.3621,0.1311,still,
1788752647.454,71.108,LIVE,trajectory,rejected,swipe_right,0.5607,0.6000,calibrated(3 samples),swipe_left,0.5914,0.9481,False,,ambiguous vs swipe_left (ratio 0.95 > 0.80),29,1.857,1.1617,0.2157,still,
1788752649.599,73.254,LIVE,trajectory,rejected,swipe_right,0.5232,0.6000,calibrated(3 samples),swipe_left,0.5385,0.9716,False,,ambiguous vs swipe_left (ratio 0.97 > 0.80),21,1.341,0.3741,0.1506,still,
